Company,Street,City,State,Zip,Activities
165368 c,"5617 Hoover Street, Suite A",Houston,TX,77092,Meat Processing
1845 smoked meat,1555 North Business 35,New Braunfels,TX,78130,Meat Processing
1845 smoked meat,1555 North Business 35,New Braunfels,TX,78130,Poultry Processing
1923 chili,2712 Wilmington Rd,New Castle,PA,16105,Meat Processing
1st original texas chili,3313 N. Jones Street,Fort Worth,TX,76106,Meat Processing
210 foods,53 Kinder Dr.,San Antonio,TX,78212,Meat Processing
210 foods,53 Kinder Dr.,San Antonio,TX,78212,Poultry Processing
3 fish,700 Tulip Drive,Gastonia,NC,28052,Meat Processing
3 fish,700 Tulip Drive,Gastonia,NC,28052,Poultry Processing
3 little pigs,625 New Commerce Boulevard,Wilkes-Barre,PA,18706,Certification - Export
3 little pigs,625 New Commerce Boulevard,Wilkes-Barre,PA,18706,Identification - Meat
3 little pigs,625 New Commerce Boulevard,Wilkes-Barre,PA,18706,Identification - Poultry
3 little pigs,625 South Main Street,Wilkes Barre,PA,18701,Meat Processing
3 little pigs,625 South Main Street,Wilkes Barre,PA,18701,Poultry Processing
305 pizza @ mia,3514 NW 36th Street,Miami,FL,33142,Meat Processing
305 pizza @ mia,3514 NW 36th Street,Miami,FL,33142,Poultry Processing
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,Meat Processing
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,Meat Slaughter
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,Voluntary Processing - Meat
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,Voluntary Slaughter - Meat
3282 beaver meadow road,3282 Beaver Meadow Road,Sharon,VT,05065,Meat Processing
3282 beaver meadow road,3282 Beaver Meadow Road,Sharon,VT,05065,Meat Slaughter
3282 beaver meadow road,3282 Beaver Meadow Road,Sharon,VT,05065,Meat Processing
3d meats,14740 Lincolnway E,Dalton,OH,44618,Meat Processing
3d meats,14740 Lincolnway E,Dalton,OH,44618,Meat Slaughter
3d meats,14740 Lincolnway E,Dalton,OH,44618,Poultry Processing
