Company,Street,City,State,Zip,EstNumber,GrantDate
165368 c,"5617 Hoover Street, Suite A",Houston,TX,77092,M13561,06/30/2014
165368 c,"5617 Hoover Street, Suite A",Houston,TX,77092,P13561,06/30/2014
1845 smoked meat,1555 North Business 35,New Braunfels,TX,78130,M53869,10/25/2021
1845 smoked meat,1555 North Business 35,New Braunfels,TX,78130,P53869,10/25/2021
1923 chili,2712 Wilmington Rd,New Castle,PA,16105,M47086,12/12/2019
1st original texas chili,3313 N. Jones Street,Fort Worth,TX,76106,M7067,11/28/2003
1st original texas chili,3313 N. Jones Street,Fort Worth,TX,76106,P7067,11/28/2003
210 foods,53 Kinder Dr.,San Antonio,TX,78212,M48294,11/16/2017
210 foods,53 Kinder Dr.,San Antonio,TX,78212,P48294,11/16/2017
3 fish,700 Tulip Drive,Gastonia,NC,28052,M47129,02/05/2020
3 fish,700 Tulip Drive,Gastonia,NC,28052,P47129,02/05/2020
3 little pigs,625 New Commerce Boulevard,Wilkes-Barre,PA,18706,V17530A,08/17/2016
3 little pigs,625 South Main Street,Wilkes Barre,PA,18701,M17530,03/23/2016
3 little pigs,625 South Main Street,Wilkes Barre,PA,18701,P17530,03/23/2016
305 pizza @ mia,3514 NW 36th Street,Miami,FL,33142,M46996,06/23/2020
305 pizza @ mia,3514 NW 36th Street,Miami,FL,33142,P46996,06/23/2020
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,M46970,10/07/2020
307 meat,3745 Cherrywood East Loop,Laramie,WY,82070,V46970,10/07/2020
3282 beaver meadow road,3282 Beaver Meadow Road,Sharon,VT,05065,M45790,02/21/2019
3282 beaver meadow road,3282 Beaver Meadow Road,Sharon,VT,05065,M8844A,02/21/2019
3d meats,14740 Lincolnway E,Dalton,OH,44618,M45377,06/08/2021
3d meats,14740 Lincolnway E,Dalton,OH,44618,P45377,06/08/2021
3d meats,14740 Lincolnway E,Dalton,OH,44618,V45377,06/08/2021
4 & 20 pasty,5638 Swift Road,Sarasota,FL,34231,M34517,01/23/2019
4 & 20 pasty,5638 Swift Road,Sarasota,FL,34231,P34517,01/23/2019
4 frendz meat market,1342 Bridge St.,Clarkston,WA,99403,M22017,09/29/2016
4 frendz meat market,1342 Bridge St.,Clarkston,WA,99403,P22017,09/29/2016
4 frendz meat market,1342 Bridge St.,Clarkston,WA,99403,V22017,09/29/2016
4-l processing,5428 FM 69,Como,TX,75431,M19789,07/25/2016
4-l processing,5428 FM 69,Como,TX,75431,P19789,07/25/2016
412 meat processing,19690 Highway 412 E,Lexington,TN,38351,M6561,05/11/2021
412 meat processing,19690 Highway 412 E,Lexington,TN,38351,P6561,05/11/2021
458 1,458 1/2 South Broadway,Yonkers,NY,10705,M17077,01/09/1993
458 1,458 1/2 South Broadway,Yonkers,NY,10705,P17077,01/09/1993
4g meat processing,2501 Guinotte Avenue,Kansas City,MO,64120,M7147,10/12/2021
4g meat processing,2501 Guinotte Avenue,Kansas City,MO,64120,P7147,10/12/2021
4g meat processing,2501 Guinotte Avenue,Kansas City,MO,64120,V7147,10/12/2021
50th state poultry,98-715 Kuahao Place,Pearl City,HI,96782,M17395,03/08/2017
50th state poultry,98-715 Kuahao Place,Pearl City,HI,96782,P17395,03/08/2017
58 place seafood,58-51 Maspeth Avenue,Maspeth,NY,11378,V45922,07/22/2016
6 in 1 meats,401 South 1st St,New Salem,ND,58563,M47555,02/08/2021
6 in 1 meats,401 South 1st St,New Salem,ND,58563,V47555,02/08/2021
888 food,2111 Chico Avenue,South El Monte,CA,91733,M21725,06/02/2003
888 food,2111 Chico Avenue,South El Monte,CA,91733,P21725,06/02/2003
888 food,4343 Temple City Blvd.,Temple City,CA,91780,M21725B,04/02/2021
888 food,4343 Temple City Blvd.,Temple City,CA,91780,P21725B,04/02/2021
888 food,4343 Temple City Blvd.,Temple City,CA,91780,V21725B,04/02/2021
920 fries frozen foods,846 S. Gray Street,Millen,GA,30442,M46622,05/28/2019
a & a finest,5342 98th Street,Corona,NY,11368,M34524,05/16/2013
a & a finest,5342 98th Street,Corona,NY,11368,P34524,05/16/2013
a & a halal distributors,5165 Forsyth Commerce Rd.,Orlando,FL,32807,M20913,03/09/2007
a & a halal distributors,5165 Forsyth Commerce Rd.,Orlando,FL,32807,P20913,03/09/2007
a & g food service,68 Oceanport Avenue,Little Silver,NJ,07739,M46867,02/11/2021
a & g food service,68 Oceanport Avenue,Little Silver,NJ,07739,P46867,02/11/2021
a & m cold storage,6000 South 35th Street,McAllen,TX,78503,V34045,04/27/2006
a & s distributors,4921 Clautier Avenue,Salida,CA,95368,M31780,05/10/2004
a & s distributors,4921 Clautier Avenue,Salida,CA,95368,P31780,05/10/2004
a & s produce,2939 Sunol,Vernon,CA,90023,M5889,05/07/2019
a & s produce,2939 Sunol,Vernon,CA,90023,P5889,05/07/2019
a butchery shoppe,S422 McKay Avenue,Spring Valley,WI,54767,M48285,05/05/2021
a butchery shoppe,S422 McKay Avenue,Spring Valley,WI,54767,P48285,05/05/2021
a butchery shoppe,S422 McKay Avenue,Spring Valley,WI,54767,V48285,05/05/2021
a casa enterprises,4007 West Chester Pike,Newtown Square,PA,19073,M46723,11/24/2015
a casa enterprises,4007 West Chester Pike,Newtown Square,PA,19073,P46723,11/24/2015
a full measure catering,643 Wilkesboro Street,Mocksville,NC,27028,M40282A,06/17/2021
